id;driver_id;usedto_driver;expiration_date;driver_status;driver_point;banned_day;driver_license;driver_license_content_type;identity_card_face_up;identity_card_face_up_content_type;identity_card_facedown;identity_card_facedown_content_type
1;617e89d1-e13d-438b-ab44-89ea9941c58a;true;2025-03-02T05:15:02;ACTIVE;23086;2025-03-02T04:04:00;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;afbed940-9836-4551-a410-6d3fa2e4dad7;false;2025-03-02T05:45:35;NOT_DRIVER;30317;2025-03-02T17:07:30;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;394c6d5d-f2a2-4ff7-978d-bac99278fe9b;true;2025-03-02T10:04:45;CONFIRMING;4862;2025-03-02T09:37:56;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;34044b94-33e9-42bb-9cb2-02902072590d;false;2025-03-02T20:41:10;ACTIVE;11245;2025-03-02T14:11:18;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;3e0f69d9-6305-45e8-af22-9d0b0dd17ff7;true;2025-03-03T01:40:02;CONFIRMING;16590;2025-03-02T17:31:44;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;f4888d4e-da47-45a2-adde-5252fc113424;true;2025-03-02T15:16:04;ACTIVE;7113;2025-03-02T10:43:50;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;7f1a85eb-ff2e-40a5-b010-b2bc258655c5;true;2025-03-02T17:45:21;CONFIRMING;27460;2025-03-02T19:58:40;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;60ba1ef1-1ee5-4d0d-8617-0d2f2483b4f8;true;2025-03-02T21:17:29;ACTIVE;24101;2025-03-02T17:55:15;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;c25c6c5e-dcc0-4da8-a205-cb0ba06aa1f9;false;2025-03-03T02:51:19;ACTIVE;23678;2025-03-02T04:56:25;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;55a58cc4-dd65-4f63-806f-310cc84cd6b5;true;2025-03-02T07:09:04;CONFIRMING;25574;2025-03-02T05:14:30;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
